original_name,current_name,mapping_status,mapping_notes,validation_status,validation_notes
RF39,RF39,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Bacteroides,Bacteroides,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Clostridia_UCG-014,Clostridia_UCG-014,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Faecalibacterium,Faecalibacterium,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Christensenellaceae_R-7_group,Christensenellaceae_R-7_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Incertae_Sedis,Incertae_Sedis,placeholder,Taxonomic placeholder - no mapping needed,invalid,Pre-filtered as invalid
Gastranaerophilales,Gastranaerophilales,wrong_rank,Name found in NCBI but not at genus level,pending,
Anaerofilum,Anaerofilum,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Tuzzerella,Tuzzerella,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Fournierella,Allofournierella,mapped_to_current,Updated to current scientific name: Fournierella -> Allofournierella ( genus level),valid,NCBI validated
UCG-010,UCG-010,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Colidextribacter,Colidextribacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Caproiciproducens,Caproiciproducens,current_valid,Name is currently valid ( genus level),valid,NCBI validated
UC5-1-2E3,UC5-1-2E3,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
uncultured,uncultured,placeholder,Taxonomic placeholder - no mapping needed,invalid,Pre-filtered as invalid
Alistipes,Alistipes,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Merdibacter,Merdibacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Oscillibacter,Oscillibacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Family_XIII_AD3011_group,Family_XIII_AD3011_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Monoglobus,Monoglobus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
[Clostridium]_innocuum_group,[Clostridium]_innocuum_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Gordonibacter,Gordonibacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Odoribacter,Odoribacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Angelakisella,Angelakisella,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Defluviitaleaceae_UCG-011,Defluviitaleaceae_UCG-011,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Butyricicoccus,Butyricicoccus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
[Eubacterium]_siraeum_group,[Eubacterium]_siraeum_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Erysipelatoclostridium,Thomasclavelia,mapped_to_current,Updated to current scientific name: Erysipelatoclostridium -> Thomasclavelia ( genus level),valid,NCBI validated
Butyricimonas,Butyricimonas,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Desulfovibrio,Desulfovibrio,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Bilophila,Bilophila,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Subdoligranulum,Subdoligranulum,current_valid,Name is currently valid ( genus level),valid,NCBI validated
[Eubacterium]_coprostanoligenes_group,[Eubacterium]_coprostanoligenes_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Turicibacter,Turicibacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Barnesiella,Barnesiella,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Muribaculaceae,Muribaculaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
Aerococcus,Aerococcus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
ASF356,ASF356,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Pygmaiobacter,Pygmaiobacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Mitochondria,Mitochondria,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Blautia,Blautia,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Mailhella,Mailhella,current_valid,Name is currently valid ( genus level),valid,NCBI validated
UCG-005,UCG-005,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
HT002,HT002,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Shuttleworthia,Shuttleworthella,mapped_to_current,Updated to current scientific name: Shuttleworthia -> Shuttleworthella ( genus level),valid,NCBI validated
[Eubacterium]_hallii_group,[Eubacterium]_hallii_group,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
vadinBE97,vadinBE97,environmental,Environmental group - no mapping needed,invalid,Pre-filtered as invalid
Anaerofustis,Anaerofustis,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Frisingicoccus,Frisingicoccus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Negativibacillus,Negativibacillus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Methanocorpusculum,Methanocorpusculum,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Ruminococcus,Ruminococcus,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Lachnospiraceae_UCG-010,Lachnospiraceae_UCG-010,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
Campylobacter,Campylobacter,current_valid,Name is currently valid ( genus level),valid,NCBI validated
S5-A14a,S5-A14a,no_mapping,Not found in NCBI (no UID returned),invalid,Pre-filtered as invalid
UCG-009,UCG-009,technical_artifact,Technical code - no mapping needed,invalid,Pre-filtered as invalid
Romboutsia,Romboutsia,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Escherichia-Shigella,Shigella,mapped_to_current,Updated to current scientific name: Escherichia-Shigella -> Shigella ( genus level),valid,NCBI validated
Staphylococcaceae,Staphylococcaceae,wrong_rank,Name found in NCBI but not at genus level,pending,
Victivallis,Victivallis,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Myroides,Myroides,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Oscillospira,Oscillospira,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Mucispirillum,Mucispirillum,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Anaerostipes,Anaerostipes,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Sphingobacterium,Sphingobacterium,current_valid,Name is currently valid ( genus level),valid,NCBI validated
Izemoplasmatales,Izemoplasmatales,wrong_rank,Name found in NCBI but not at genus level,pending,
Gallibacterium,Gallibacterium,current_valid,Name is currently valid ( genus level),valid,NCBI validated
