index,d__Bacteria,d__Archaea
CN113,2733.0,173.0
CN123,2812.0,94.0
CN133,2747.0,159.0
CN143,2811.0,95.0
CN153,2819.0,87.0
CN213,2877.0,29.0
CN223,2906.0,0.0
CN233,2882.0,24.0
CN243,2865.0,41.0
CN253,2854.0,52.0
CN313,2905.0,1.0
CN323,2904.0,2.0
CN333,2903.0,3.0
CN343,2901.0,5.0
CN353,2906.0,0.0
CN413,2906.0,0.0
CN414,2896.0,10.0
CN423,2906.0,0.0
CN433,2906.0,0.0
CN443,2900.0,6.0
CN453,2904.0,2.0
CN513,2906.0,0.0
CN523,2904.0,2.0
CN533,2902.0,4.0
CN543,2905.0,1.0
CN553,2905.0,1.0
CN613,2904.0,2.0
CN623,2905.0,1.0
CN633,2898.0,8.0
CN643,2905.0,1.0
CN653,2905.0,1.0
