index,d__Bacteria;p__Firmicutes,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Cyanobacteria,d__Bacteria;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Archaea;p__Halobacterota,d__Bacteria;p__Campylobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Synergistota,d__Archaea;p__Thermoplasmatota,d__Archaea;p__Euryarchaeota
CN113,1255.0,1251.0,37.0,0.0,13.0,26.0,56.0,19.0,0.0,63.0,13.0,0.0,3.0,170.0
CN123,1370.0,1369.0,6.0,1.0,26.0,25.0,8.0,1.0,0.0,2.0,4.0,0.0,0.0,94.0
CN133,1487.0,1150.0,11.0,0.0,5.0,43.0,33.0,0.0,0.0,4.0,14.0,0.0,0.0,159.0
CN143,1968.0,709.0,16.0,1.0,16.0,27.0,70.0,2.0,0.0,1.0,0.0,1.0,3.0,92.0
CN153,1532.0,1025.0,51.0,3.0,7.0,22.0,80.0,36.0,0.0,59.0,4.0,0.0,6.0,81.0
CN213,1569.0,1073.0,54.0,1.0,54.0,50.0,52.0,0.0,29.0,24.0,0.0,0.0,0.0,0.0
CN223,1799.0,160.0,0.0,0.0,869.0,4.0,53.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
CN233,1641.0,1122.0,20.0,1.0,18.0,18.0,52.0,1.0,24.0,9.0,0.0,0.0,0.0,0.0
CN243,1734.0,1002.0,42.0,2.0,29.0,11.0,42.0,0.0,39.0,3.0,0.0,0.0,2.0,0.0
CN253,1392.0,1000.0,227.0,2.0,15.0,96.0,89.0,3.0,52.0,30.0,0.0,0.0,0.0,0.0
CN313,1881.0,821.0,45.0,3.0,11.0,68.0,16.0,10.0,0.0,50.0,0.0,0.0,1.0,0.0
CN323,1407.0,1303.0,54.0,1.0,3.0,38.0,26.0,59.0,0.0,13.0,0.0,0.0,2.0,0.0
CN333,1488.0,1244.0,38.0,0.0,24.0,66.0,25.0,7.0,0.0,11.0,0.0,0.0,3.0,0.0
CN343,1774.0,783.0,90.0,1.0,4.0,31.0,85.0,105.0,0.0,28.0,0.0,0.0,5.0,0.0
CN353,1957.0,886.0,27.0,3.0,6.0,16.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
CN413,1594.0,1001.0,73.0,2.0,12.0,29.0,44.0,135.0,0.0,16.0,0.0,0.0,0.0,0.0
CN414,1489.0,986.0,18.0,5.0,8.0,25.0,85.0,222.0,0.0,58.0,0.0,0.0,10.0,0.0
CN423,1616.0,1211.0,10.0,0.0,7.0,27.0,30.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
CN433,1633.0,1146.0,12.0,1.0,6.0,49.0,32.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0
CN443,1641.0,1051.0,28.0,2.0,9.0,23.0,55.0,46.0,0.0,45.0,0.0,0.0,6.0,0.0
CN453,1550.0,1182.0,12.0,1.0,7.0,28.0,33.0,86.0,0.0,5.0,0.0,0.0,2.0,0.0
CN513,1424.0,1268.0,15.0,0.0,7.0,15.0,3.0,116.0,0.0,7.0,0.0,51.0,0.0,0.0
CN523,1455.0,1168.0,37.0,2.0,6.0,55.0,28.0,27.0,0.0,11.0,0.0,115.0,2.0,0.0
CN533,1630.0,955.0,34.0,0.0,7.0,31.0,42.0,139.0,0.0,19.0,0.0,45.0,4.0,0.0
CN543,1658.0,972.0,38.0,0.0,3.0,65.0,66.0,37.0,0.0,13.0,0.0,53.0,1.0,0.0
CN553,1518.0,1130.0,31.0,0.0,16.0,31.0,25.0,102.0,0.0,2.0,0.0,50.0,1.0,0.0
CN613,1432.0,1292.0,19.0,2.0,2.0,50.0,35.0,15.0,0.0,0.0,0.0,57.0,2.0,0.0
CN623,1323.0,1463.0,19.0,0.0,5.0,43.0,22.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0
CN633,1514.0,827.0,166.0,2.0,4.0,48.0,59.0,114.0,0.0,46.0,0.0,118.0,8.0,0.0
CN643,1607.0,993.0,12.0,3.0,8.0,87.0,10.0,116.0,0.0,13.0,0.0,56.0,1.0,0.0
CN653,1844.0,951.0,8.0,0.0,19.0,73.0,5.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
