index,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,d__Bacteria;p__Firmicutes;__,d__Bacteria;__;__,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Archaea;p__Halobacterota;c__Methanomicrobia,d__Bacteria;p__Campylobacterota;c__Campylobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Bacteria;p__Firmicutes;c__Desulfotomaculia,d__Bacteria;p__Synergistota;c__Synergistia,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata,d__Archaea;p__Euryarchaeota;c__Methanobacteria
CN113,892.0,270.0,1251.0,37.0,6.0,0.0,13.0,26.0,0.0,0.0,0.0,87.0,0.0,63.0,56.0,13.0,19.0,0.0,0.0,3.0,170.0
CN123,1140.0,74.0,1369.0,6.0,6.0,1.0,26.0,25.0,0.0,0.0,1.0,150.0,0.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,94.0
CN133,1158.0,256.0,1150.0,11.0,0.0,0.0,5.0,43.0,0.0,0.0,0.0,73.0,0.0,4.0,33.0,14.0,0.0,0.0,0.0,0.0,159.0
CN143,1700.0,119.0,709.0,16.0,2.0,1.0,13.0,27.0,3.0,1.0,2.0,147.0,0.0,1.0,69.0,0.0,0.0,0.0,1.0,3.0,92.0
CN153,1270.0,195.0,1025.0,51.0,3.0,3.0,6.0,22.0,1.0,1.0,2.0,64.0,0.0,59.0,79.0,4.0,34.0,0.0,0.0,6.0,81.0
CN213,1302.0,141.0,1073.0,54.0,2.0,1.0,53.0,50.0,1.0,1.0,0.0,124.0,29.0,24.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
CN223,939.0,678.0,160.0,0.0,0.0,0.0,0.0,4.0,869.0,0.0,0.0,182.0,0.0,21.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
CN233,1374.0,170.0,1122.0,20.0,1.0,1.0,16.0,18.0,2.0,2.0,1.0,96.0,24.0,9.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CN243,1599.0,97.0,1002.0,42.0,0.0,2.0,26.0,11.0,3.0,4.0,0.0,38.0,39.0,3.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0
CN253,1129.0,95.0,1000.0,227.0,0.0,2.0,15.0,96.0,0.0,28.0,2.0,168.0,52.0,30.0,61.0,0.0,1.0,0.0,0.0,0.0,0.0
CN313,1398.0,199.0,821.0,45.0,0.0,3.0,11.0,68.0,0.0,0.0,0.0,284.0,0.0,50.0,16.0,0.0,10.0,0.0,0.0,1.0,0.0
CN323,1070.0,132.0,1303.0,54.0,1.0,1.0,3.0,38.0,0.0,3.0,0.0,204.0,0.0,13.0,23.0,0.0,59.0,0.0,0.0,2.0,0.0
CN333,1116.0,124.0,1244.0,38.0,4.0,0.0,24.0,66.0,0.0,0.0,0.0,244.0,0.0,11.0,25.0,0.0,7.0,0.0,0.0,3.0,0.0
CN343,1510.0,123.0,783.0,90.0,3.0,1.0,4.0,31.0,0.0,22.0,2.0,138.0,0.0,28.0,63.0,0.0,103.0,0.0,0.0,5.0,0.0
CN353,1575.0,352.0,886.0,27.0,2.0,3.0,6.0,16.0,0.0,0.0,0.0,28.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
CN413,1276.0,172.0,1001.0,73.0,2.0,2.0,12.0,29.0,0.0,0.0,4.0,141.0,0.0,16.0,44.0,0.0,131.0,3.0,0.0,0.0,0.0
CN414,977.0,347.0,986.0,18.0,9.0,5.0,8.0,25.0,0.0,16.0,3.0,156.0,0.0,58.0,69.0,0.0,219.0,0.0,0.0,10.0,0.0
CN423,1224.0,193.0,1211.0,10.0,2.0,0.0,5.0,27.0,2.0,0.0,0.0,197.0,0.0,3.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
CN433,1314.0,174.0,1146.0,12.0,4.0,1.0,6.0,49.0,0.0,1.0,0.0,141.0,0.0,1.0,31.0,0.0,26.0,0.0,0.0,0.0,0.0
CN443,1249.0,234.0,1051.0,28.0,5.0,2.0,7.0,23.0,2.0,2.0,0.0,153.0,0.0,45.0,53.0,0.0,46.0,0.0,0.0,6.0,0.0
CN453,1263.0,199.0,1182.0,12.0,2.0,1.0,7.0,28.0,0.0,3.0,0.0,86.0,0.0,5.0,30.0,0.0,86.0,0.0,0.0,2.0,0.0
CN513,1023.0,239.0,1268.0,15.0,16.0,0.0,7.0,15.0,0.0,0.0,0.0,146.0,0.0,7.0,3.0,0.0,116.0,0.0,51.0,0.0,0.0
CN523,1042.0,187.0,1168.0,37.0,4.0,2.0,6.0,55.0,0.0,5.0,0.0,222.0,0.0,11.0,23.0,0.0,27.0,0.0,115.0,2.0,0.0
CN533,1152.0,306.0,955.0,34.0,4.0,0.0,7.0,31.0,0.0,5.0,0.0,168.0,0.0,19.0,37.0,0.0,139.0,0.0,45.0,4.0,0.0
CN543,1137.0,389.0,972.0,38.0,3.0,0.0,3.0,65.0,0.0,4.0,2.0,129.0,0.0,13.0,62.0,0.0,35.0,0.0,53.0,1.0,0.0
CN553,1142.0,209.0,1130.0,31.0,3.0,0.0,16.0,31.0,0.0,0.0,1.0,164.0,0.0,2.0,25.0,0.0,101.0,0.0,50.0,1.0,0.0
CN613,1068.0,47.0,1292.0,19.0,2.0,2.0,2.0,50.0,0.0,0.0,0.0,315.0,0.0,0.0,35.0,0.0,15.0,0.0,57.0,2.0,0.0
CN623,1052.0,63.0,1463.0,19.0,4.0,0.0,5.0,43.0,0.0,0.0,0.0,204.0,0.0,0.0,22.0,0.0,0.0,0.0,30.0,1.0,0.0
CN633,1015.0,122.0,827.0,166.0,2.0,2.0,4.0,48.0,0.0,8.0,0.0,375.0,0.0,46.0,51.0,0.0,114.0,0.0,118.0,8.0,0.0
CN643,1183.0,223.0,993.0,12.0,10.0,3.0,8.0,87.0,0.0,0.0,0.0,191.0,0.0,13.0,10.0,0.0,116.0,0.0,56.0,1.0,0.0
CN653,1614.0,122.0,951.0,8.0,7.0,0.0,19.0,73.0,0.0,0.0,2.0,101.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0
