index,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales,d__Bacteria;p__Firmicutes;__;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;__;__;__,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Firmicutes;c__Bacilli;__,d__Bacteria;p__Firmicutes;c__Desulfotomaculia;o__Desulfotomaculales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;__,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales,d__Bacteria;p__Firmicutes;c__Clostridia;o__uncultured,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales
CN113,368.0,373.0,15.0,0.0,1241.0,46.0,17.0,37.0,6.0,264.0,0.0,1.0,12.0,7.0,54.0,0.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,10.0,52.0,0.0,0.0,5.0,0.0,0.0,87.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,170.0
CN123,335.0,630.0,23.0,1.0,1358.0,43.0,38.0,6.0,6.0,52.0,2.0,21.0,25.0,0.0,44.0,1.0,26.0,25.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
CN133,510.0,479.0,21.0,8.0,1126.0,61.0,32.0,11.0,0.0,230.0,0.0,10.0,0.0,7.0,48.0,0.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,24.0,29.0,0.0,0.0,8.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0
CN143,744.0,634.0,28.0,11.0,701.0,110.0,38.0,13.0,2.0,87.0,3.0,15.0,94.0,5.0,42.0,1.0,13.0,27.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,61.0,0.0,0.0,0.0,2.0,1.0,141.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,92.0
CN153,420.0,589.0,20.0,11.0,1012.0,45.0,45.0,47.0,3.0,177.0,4.0,4.0,8.0,27.0,112.0,3.0,6.0,22.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,59.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,76.0,3.0,0.0,0.0,0.0,0.0,57.0,4.0,34.0,6.0,0.0,0.0,0.0,1.0,81.0
CN213,521.0,579.0,18.0,3.0,1061.0,43.0,30.0,54.0,2.0,35.0,6.0,102.0,69.0,19.0,11.0,1.0,53.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,51.0,0.0,0.0,0.0,6.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CN223,409.0,526.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,670.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,869.0,0.0,0.0,0.0
CN233,593.0,648.0,7.0,9.0,1100.0,52.0,16.0,17.0,1.0,36.0,0.0,125.0,23.0,2.0,31.0,1.0,16.0,18.0,0.0,2.0,0.0,1.0,0.0,2.0,24.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0,96.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CN243,564.0,672.0,32.0,11.0,991.0,96.0,76.0,39.0,0.0,15.0,5.0,71.0,92.0,14.0,44.0,2.0,26.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,39.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,0.0,0.0,0.0,4.0,0.0,38.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
CN253,454.0,545.0,14.0,0.0,999.0,14.0,9.0,212.0,0.0,50.0,0.0,45.0,6.0,11.0,76.0,2.0,15.0,96.0,0.0,28.0,0.0,2.0,0.0,0.0,52.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,168.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
