	CN113	CN123	CN133	CN143	CN153	CN213	CN223	CN233	CN243	CN253	CN313	CN323	CN333	CN343	CN353	CN413	CN414	CN423	CN433	CN443	CN453	CN513	CN523	CN533	CN543	CN553	CN613	CN623	CN633	CN643	CN653
CN113	0.0	0.44803854094975915	0.4132828630419821	0.4879559532002753	0.389538885065382	0.47075017205781144	0.8128011011699932	0.411906400550585	0.5116999311768754	0.49793530626290433	0.6397109428768066	0.5320027529249828	0.5275292498279421	0.6841018582243634	0.5746730901582932	0.5240880935994494	0.5474879559532003	0.530970406056435	0.5357880247763248	0.518582243633861	0.5633172746042671	0.547143840330351	0.5519614590502409	0.5560908465244322	0.5794907088781831	0.4917412250516173	0.47935306262904337	0.4917412250516173	0.5843083275980729	0.5447350309704061	0.4532002752924983
CN123	0.44803854094975915	0.0	0.46214728148657946	0.4741913282863042	0.4679972470750172	0.411906400550585	0.8441156228492773	0.41775636613902273	0.4917412250516173	0.48967653131452166	0.6001376462491397	0.43668272539573294	0.42773571920165177	0.6307639366827253	0.5626290433585684	0.47212663454920856	0.5199587061252581	0.4408121128699243	0.48726772195457674	0.5003441156228493	0.5708878183069511	0.42876806607019957	0.4924294562973159	0.5127322780454233	0.5605643496214728	0.41293874741913283	0.3540949759119064	0.4211975223675155	0.5939435650378527	0.4542326221610461	0.40846524432209225
CN133	0.4132828630419821	0.46214728148657946	0.0	0.43392980041293877	0.452856159669649	0.5220233998623538	0.8437715072264281	0.5178940123881625	0.5209910529938059	0.6152787336545079	0.6163110805230557	0.506194081211287	0.4955264969029594	0.6459050240880936	0.5178940123881625	0.4817618719889883	0.5020646937370956	0.41569167240192706	0.4559532002752925	0.5	0.49105299380591877	0.47315898141775636	0.5099793530626291	0.5120440467997247	0.5450791465932553	0.4975911906400551	0.5113558155540262	0.4955264969029594	0.6321403991741225	0.5536820371644873	0.5237439779766001
CN143	0.4879559532002753	0.4741913282863042	0.43392980041293877	0.0	0.4132828630419821	0.5017205781142464	0.8620096352374398	0.49587061252580866	0.47522367515485203	0.5684790089470062	0.5289057123193392	0.5333792154163799	0.5055058499655884	0.5640055058499656	0.5006882312456985	0.46249139710942877	0.5643496214728149	0.4638678596008259	0.4662766689607708	0.4194769442532691	0.5292498279421886	0.5306262904335857	0.5209910529938059	0.5113558155540262	0.5068823124569856	0.5137646249139711	0.526152787336545	0.5450791465932553	0.540949759119064	0.49002064693737096	0.48830006882312454
CN153	0.389538885065382	0.4679972470750172	0.452856159669649	0.4132828630419821	0.0	0.4686854783207158	0.8165863730213352	0.4869236063317275	0.5268410185822436	0.5206469373709567	0.6011699931176876	0.5984170681348934	0.5860289057123194	0.6039229181004817	0.6073640743289745	0.4796971782518926	0.5474879559532003	0.5240880935994494	0.462835512732278	0.4497591190640055	0.5020646937370956	0.5829318651066758	0.5849965588437716	0.5671025464556091	0.5505849965588437	0.4975911906400551	0.5141087405368203	0.5295939435650379	0.5554026152787337	0.5099793530626291	0.48382656572608396
CN213	0.47075017205781144	0.411906400550585	0.5220233998623538	0.5017205781142464	0.4686854783207158	0.0	0.8217481073640743	0.3234686854783207	0.3620096352374398	0.4039917412250516	0.5244322092222987	0.4821059876118376	0.44322092222986925	0.5316586373021335	0.5030970406056435	0.42188575361321407	0.4869236063317275	0.44872677219545765	0.43702684101858225	0.4284239504473503	0.503785271851342	0.4927735719201652	0.49587061252580866	0.46421197522367513	0.48864418444597385	0.4638678596008259	0.4332415691672402	0.5244322092222987	0.5189263592567103	0.4435650378527185	0.393324156916724
CN223	0.8128011011699932	0.8441156228492773	0.8437715072264281	0.8620096352374398	0.8165863730213352	0.8217481073640743	0.0	0.8121128699242945	0.8733654507914659	0.8062629043358569	0.8410185822436339	0.8265657260839642	0.848589125946318	0.8375774260151411	0.8664831383344804	0.8062629043358569	0.8410185822436339	0.8365450791465933	0.8410185822436339	0.811424638678596	0.8843771507226428	0.8275980729525121	0.8382656572608397	0.8035099793530627	0.8124569855471439	0.7962835512732278	0.813833448038541	0.8482450103234687	0.8454920853406744	0.7797660013764625	0.8224363386097728
CN233	0.411906400550585	0.41775636613902273	0.5178940123881625	0.49587061252580866	0.4869236063317275	0.3234686854783207	0.8121128699242945	0.0	0.3723331039229181	0.41913282863041984	0.5671025464556091	0.48864418444597385	0.45251204404679973	0.6176875430144528	0.5048176187198898	0.4710942876806607	0.5178940123881625	0.48623537508602893	0.5096352374397798	0.5113558155540262	0.5437026841018582	0.49793530626290433	0.49105299380591877	0.49105299380591877	0.5375086028905712	0.4232622161046111	0.40708878183069513	0.5027529249827942	0.5701995870612526	0.4903647625602202	0.3657949070887818
CN243	0.5116999311768754	0.4917412250516173	0.5209910529938059	0.47522367515485203	0.5268410185822436	0.3620096352374398	0.8733654507914659	0.3723331039229181	0.0	0.516173434273916	0.5502408809359945	0.4803854094975912	0.4483826565726084	0.574328974535444	0.4532002752924983	0.4463179628355127	0.5540261527873366	0.4869236063317275	0.4328974535443909	0.4618031658637302	0.4796971782518926	0.52856159669649	0.49449415003441155	0.48141775636613904	0.5113558155540262	0.5	0.4697178251892636	0.5481761871988988	0.5289057123193392	0.4769442532690984	0.430488644184446
CN253	0.49793530626290433	0.48967653131452166	0.6152787336545079	0.5684790089470062	0.5206469373709567	0.4039917412250516	0.8062629043358569	0.41913282863041984	0.516173434273916	0.0	0.6052993805918788	0.5681348933241569	0.526152787336545	0.6359256710254646	0.5946317962835512	0.4889883000688231	0.5402615278733655	0.5750172057811425	0.5381968341362698	0.5357880247763248	0.6070199587061252	0.5688231245698555	0.5464556090846524	0.5371644872677219	0.553337921541638	0.45836200963523743	0.46214728148657946	0.5361321403991741	0.5399174122505161	0.4817618719889883	0.47040605643496214
