	CN113	CN123	CN133	CN143	CN153	CN213	CN223	CN233	CN243	CN253	CN313	CN323	CN333	CN343	CN353	CN413	CN414	CN423	CN433	CN443	CN453	CN513	CN523	CN533	CN543	CN553	CN613	CN623	CN633	CN643	CN653
CN113	0.0	0.7195767195767195	0.6946564885496184	0.7847682119205298	0.69377990430622	0.7303921568627451	0.825	0.7521739130434782	0.7921146953405018	0.7909836065573771	0.7953488372093023	0.7857142857142857	0.784037558685446	0.8291814946619217	0.809322033898305	0.8233695652173914	0.7848837209302325	0.7833333333333333	0.822742474916388	0.8199233716475096	0.7662337662337663	0.8071748878923767	0.8014981273408239	0.8029197080291971	0.8149466192170819	0.8185053380782918	0.7488151658767772	0.7307692307692307	0.7947761194029851	0.7985611510791367	0.7714285714285715
CN123	0.7195767195767195	0.0	0.7010869565217391	0.6363636363636364	0.5967078189300411	0.6598360655737705	0.8641304347826086	0.6501901140684411	0.6633663366336634	0.7263157894736842	0.6972111553784861	0.7098214285714286	0.6653061224489796	0.6854304635761589	0.6830188679245283	0.712082262210797	0.7522522522522522	0.6588785046728972	0.7076923076923077	0.7034482758620689	0.6974169741697417	0.6477732793522267	0.6891891891891891	0.68	0.6938110749185668	0.7055016181229773	0.6666666666666666	0.7087378640776699	0.6879194630872483	0.6418918918918919	0.6709677419354839
CN133	0.6946564885496184	0.7010869565217391	0.0	0.7702702702702703	0.7142857142857143	0.7572815533980582	0.8688524590163934	0.7758620689655172	0.781021897810219	0.8273092369477911	0.7632850241545893	0.7471264367816092	0.7450980392156863	0.8145454545454546	0.7860262008733624	0.8186813186813187	0.7590361445783133	0.7294117647058823	0.7839721254355401	0.7448559670781894	0.7631578947368421	0.7710280373831776	0.76171875	0.7827715355805244	0.7822878228782287	0.8291814946619217	0.7391304347826086	0.7254901960784313	0.7739463601532567	0.774074074074074	0.7992957746478874
CN143	0.7847682119205298	0.6363636363636364	0.7702702702702703	0.0	0.5963855421686747	0.6705882352941176	0.9013157894736842	0.659217877094972	0.5941644562334217	0.7055702917771883	0.7085714285714285	0.7492447129909365	0.7085714285714285	0.640625	0.6685393258426966	0.5804988662131519	0.7515527950310559	0.6962025316455697	0.6642156862745098	0.6121883656509696	0.7081081081081081	0.6734104046242775	0.6209677419354839	0.6143617021276596	0.6443298969072165	0.6434108527131783	0.6234939759036144	0.774294670846395	0.6421052631578947	0.6131578947368421	0.6088082901554405
CN153	0.69377990430622	0.5967078189300411	0.7142857142857143	0.5963855421686747	0.0	0.6591760299625468	0.8679245283018868	0.6689655172413793	0.6787878787878788	0.7039473684210527	0.7259786476868327	0.714859437751004	0.6981818181818182	0.691131498470948	0.7290969899665551	0.6633165829145728	0.7272727272727273	0.675	0.7259887005649718	0.707936507936508	0.6573426573426573	0.6727272727272727	0.6740506329113924	0.6901840490797546	0.6909090909090909	0.7057057057057057	0.6555555555555556	0.7253218884120172	0.6853582554517134	0.6383647798742138	0.6776119402985075
CN213	0.7303921568627451	0.6598360655737705	0.7572815533980582	0.6705882352941176	0.6591760299625468	0.0	0.8756218905472637	0.5909090909090909	0.564625850340136	0.6666666666666666	0.6870229007633588	0.7088607594936709	0.6614785992217899	0.6857142857142857	0.6928571428571428	0.6919191919191919	0.775	0.6666666666666666	0.6876876876876877	0.6812080536912751	0.6545454545454545	0.6653992395437263	0.65	0.6805111821086262	0.6645367412140575	0.7089783281733746	0.678030303030303	0.7422222222222222	0.6354515050167224	0.6483870967741936	0.659375
CN223	0.825	0.8641304347826086	0.8688524590163934	0.9013157894736842	0.8679245283018868	0.8756218905472637	0.0	0.8506787330316742	0.9025270758122743	0.8558951965065502	0.8921568627450981	0.8809523809523809	0.8756218905472637	0.8996282527881041	0.8878923766816144	0.8950276243093923	0.864516129032258	0.8727272727272727	0.9	0.8866396761133604	0.8995633187772926	0.8904761904761904	0.8700787401574803	0.8951310861423221	0.8888888888888888	0.8801498127340824	0.8564356435643564	0.8620689655172413	0.8931297709923665	0.868421052631579	0.864963503649635
CN233	0.7521739130434782	0.6501901140684411	0.7758620689655172	0.659217877094972	0.6689655172413793	0.5909090909090909	0.8506787330316742	0.0	0.580441640378549	0.6354515050167224	0.7038327526132404	0.7203065134099617	0.6666666666666666	0.6646525679758308	0.6598639455782312	0.6715328467153284	0.7322834645669292	0.6825396825396826	0.6637931034482759	0.684375	0.6907894736842105	0.6654929577464789	0.6798780487804879	0.6513761467889908	0.6566265060240963	0.6555891238670695	0.6340579710144928	0.7254098360655737	0.6501547987616099	0.6371951219512195	0.6109422492401215
CN243	0.7921146953405018	0.6633663366336634	0.781021897810219	0.5941644562334217	0.6787878787878788	0.564625850340136	0.9025270758122743	0.580441640378549	0.0	0.6839080459770115	0.6934984520123839	0.7326732673267327	0.668769716088328	0.6446280991735537	0.616822429906542	0.6139534883720931	0.7843137254901961	0.6736111111111112	0.6081081081081081	0.6347826086956522	0.6862170087976539	0.6509433962264151	0.5710059171597633	0.6284916201117319	0.6336088154269972	0.6401098901098901	0.6136363636363636	0.7465277777777778	0.6153846153846154	0.6	0.5994475138121547
CN253	0.7909836065573771	0.7263157894736842	0.8273092369477911	0.7055702917771883	0.7039473684210527	0.6666666666666666	0.8558951965065502	0.6354515050167224	0.6839080459770115	0.0	0.7540983606557377	0.7915194346289752	0.7290969899665551	0.7031700288184438	0.7278481012658228	0.6682692307692307	0.7822878228782287	0.7769784172661871	0.7420212765957447	0.749271137026239	0.7844311377245509	0.705685618729097	0.7105263157894737	0.7023121387283237	0.7028571428571428	0.6676470588235294	0.7037037037037037	0.7730769230769231	0.6902654867256637	0.7073863636363636	0.6974789915966386
