	shannon_entropy
CN113	4.995036007494454
CN123	4.957407263815485
CN133	5.153845815914682
CN143	6.3884638661095385
CN153	6.071459678075005
CN213	5.785740236319207
CN223	3.998553024900293
CN233	5.659779950565114
CN243	6.23858464048629
CN253	5.8443763346825985
CN313	6.160883748445185
CN323	4.8146748820679806
CN333	5.341207893026343
CN343	6.743866472883638
CN353	6.0647987262478305
CN413	6.428639958818638
CN414	5.309551086820564
CN423	5.164031856889838
CN433	6.177117666508776
CN443	6.023371034110035
CN453	5.792318551753388
CN513	5.425225812624045
CN523	5.6491281706506
CN533	5.926359490153919
CN543	6.137693303293112
CN553	5.807234901646481
CN613	5.175520118801054
CN623	4.605041571080854
CN633	5.8539975561382525
CN643	6.141290531722402
CN653	6.1308204473301116
